Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type
HH-01,Record Type = HH,Character,2,,File Header Record,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,HH
HH-02,Report Period,Numeric,6,YYYYMM,"Reporting Period of the data in the file (the “as of”
month and year)","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,HH
HH-03,File Frequency,Numeric,1,,"The quarterly or annual indicator. Values are:
Q = Quarterly file
A = Annual file","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,HH
HH-04,Date File Generated,Numeric,8,YYYYMMDD,The Date the file was created,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,HH
LP-01,Record Type = LP,Character,2,,Loan Performance Record,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP
LP-02,CUSIP Number,Character,9,,"The CUSIP is a unique identification number
permanently assigned by the Committee on Uniform
Securities Identification Procedures (CUSIP) to each
publicly traded security at the time of issuance.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP
LP-03,Pool ID,Character,6,,The Pool identifier assigned by Ginnie Mae at pooling.,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP
LP-04,Pool Indicator,Character,1,,"Identifies the Issue Type of the pool. Values are X, C, or
M","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP
LP-05,Pool Type,Character,2,,"Two-character pool type for the pool (see Ginnie Mae
Guide, Chapter 1)","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,LP
TT-01,Record Type = TT,Character,2,,File Trailer Record,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT
TT-02,Report Period,Numeric,6,YYYYMM,Reporting Period of the data in the file,"LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT
TT-03,Loan Count,Numeric,9,,"The number of loans/LP Records contained in the
file. This count does not include the “HH” or “TT”
records.","LoanPerfAnn_LOAN PERFORMANCE FILE, ANNUAL Layout V1.0 (Jan 2024 - Present).pdf",2024-01-01,2099-12-31,TT
