Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type
01,Record Type = HP,Character,2,,,File Header Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HP
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HP
03,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HP
01,Record Type = PS,Character,2,,,HMBS Pool/Security Detail Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,PS
01,Record Type = TP,Character,2,,,File Trailer Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,PS
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,PS
03,File Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,PS
04,Detail Record Count,Numeric,8,,,"Control total of the total number of records with Record Type =
“PS” in the file.",hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,PS
01,Record Type = HS,Character,2,,,File Header Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HS
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HS
03,Create Date,Date,8,"YYYYMM
DD",,The date that the file is produced.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,HS
01,Record Type = 01,Character,2,,,Quartiles Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
02,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
03,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
04,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is H.,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
05,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
06,Quartiles,Character,1,,,"Values are:
4 = Maximum (100%) Quartile
3 = 75th Percentage Quartile",hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,01
01,Record Type = 02,Character,2,,,Various Record,hmonthlyPS_HMBS PORTFOLIO – POOL_SECURITY Layout V5.1 (Apr 2024 - Present).pdf,2024-04-01,2099-12-31,02
