Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type
HH-001,Record Type = HH,Character,2,,File Header Record,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,HH
HH-002,Report Period,Numeric,6,YYYYMM,"Reporting Period of the data in the file (the “as of” month
and year)",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,HH
HH-003,Date File Generated,Numeric,8,YYYYMMDD,The Date the file was created,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,HH
LR-001,Record Type = LR,Character,2,,Loan Liquidation Record,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-002,CUSIP Number,Character,9,,"The CUSIP is a unique identification number permanently
assigned by the Committee on Uniform Securities
Identification Procedures (CUSIP) to each publicly traded
security at the time of issuance.",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-003,Pool ID,Character,6,,The Pool identifier assigned by Ginnie Mae at pooling.,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-004,Pool Indicator,Character,1,,"Identifies the Issue Type of the pool. Values are X, C, or
M",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-005,Pool Type,Character,2,,"Two-character pool type for the pool (see Ginnie Mae
Guide, Chapter 1)",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-006,Pool Issue Date,Numeric,8,YYYYMMDD,The date the pool was issued,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
LR-007,Disclosure Sequence Number,Numeric,10,,"A number used for each loan to identify it distinctly for
data disclosures",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,LR
TT-001,Record Type = TT,Character,2,,File Trailer Record,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,TT
TT-002,Report Period,Numeric,6,YYYYMM,Reporting Period of the data in the file,llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,TT
TT-003,Loan Count,Numeric,9,,"The number of loans/LR Records contained in the
file",llmonliq_MBS SF LOAN LIQUIDATIONS MONTHLY Layout V1.0 (Sep 2018 - Feb 2019).pdf,2018-09-01,2019-02-01,TT
