Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type
1,CUSIP Number,1,9,Character,9,X(9),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
2,Pool Number,10,15,Character,6,X(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
3,"Pool Indicator (X, C, or M)",16,16,Character,1,X,monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
4,Pool Type,17,18,Character,2,X(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
5,Record Type (D=Pool Details),19,19,Character,1,X,monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
6,Pool Interest Rate (Security interest rate),20,24,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
7,Pool Issue Date,25,32,Numeric,8,9(8),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
8,Pool Maturity Date,33,40,Numeric,8,9(8),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
9,Original Aggregate Amount,41,55,Numeric,15,9(13)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
10,Issuer Number,56,59,Numeric,4,9(4),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
11,Issuer Name,60,99,Character,40,X(40),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
12,Security Margin (ARM pools only),100,103,Numeric,4,9(1)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
13,Interest Adjustment Date (ARM pools only),104,111,Numeric,8,9(8),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
14,Payment Adjustment Date (ARM pools only),112,119,Numeric,8,9(8),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
15,Number of loans in pool,120,125,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
16,Average Original Loan Size (AOLS),126,133,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
17,Maximum AOLS (Q4),134,141,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
18,75th Percentile AOLS (Q3),142,149,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
19,Median AOLS (Q2),150,157,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
20,25th Percentile AOLS (Q1),158,165,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
21,Minimum AOLS (Q0),166,173,Numeric,8,9(6)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
22,WAC,174,178,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
23,Maximum WAC (Q4),179,183,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
24,75th Percentile WAC (Q3),184,188,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
25,Median WAC (Q2),189,193,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
26,25th Percentile WAC (Q1),194,198,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
27,Minimum WAC (Q0),199,203,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
28,WARM,204,206,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
29,Maximum WARM (Q4),207,209,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
30,75th Percentile WARM (Q3),210,212,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
31,Median WARM (Q2),213,215,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
32,25th Percentile WARM (Q1),216,218,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
33,Minimum WARM (Q0),219,221,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
34,WALA,222,224,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
35,Maximum WALA (Q4),225,227,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
36,75th Percentile WALA (Q3),228,230,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
37,Median WALA (Q2),231,233,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
38,25th Percentile WALA (Q1),234,236,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
39,Minimum WALA (Q0),237,239,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
40,WAOLT,240,242,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
41,Maximum WAOLT (Q4),243,245,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
42,75th Percentile WAOLT (Q3),246,248,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
43,Median WAOLT (Q2),249,251,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
44,25th Percentile WAOLT (Q1),252,254,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
45,Minimum WAOLT (Q0),255,257,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
46,WAGM (AR pool type only),258,262,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
47,Maximum WAGM (Q4),263,267,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
48,75th Percentile WAGM (Q3),268,272,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
49,Median WAGM (Q2),273,277,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
50,25th Percentile WAGM (Q1),278,282,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
51,Minimum WAGM (Q0),283,287,Numeric,5,9(2)v9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
52,Weighted Average Original LTV,288,290,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
53,Maximum LTV (Q4),291,293,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
54,75th Percentile LTV (Q3),294,296,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
55,Median LTV (Q2),297,299,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
56,25th Percentile LTV (Q1),300,302,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
57,Minimum LTV (Q0),303,305,Numeric,3,9(3),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
58,LTV Not Available – Number of loans,306,311,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
59,LTV Not Available – UPB,312,324,Numeric,13,9(11)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
60,LTV Not Available – % of UPB,325,329,Numeric,5,9(3)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
61,Purchase Number Of Loans,330,335,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
62,Purchase UPB,336,348,Numeric,13,9(11)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
63,Purchase % of UPB,349,353,Numeric,5,9(3)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
64,Refinance Number of Loans,354,359,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
65,Refinance UPB,360,372,Numeric,13,9(11)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
66,Refinance % of UPB,373,377,Numeric,5,9(3)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
67,HAMP Modified Number of Loans,378,383,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
68,HAMP Modified UPB,384,396,Numeric,13,9(11)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
69,HAMP Modified % of Total UPB,397,401,Numeric,5,9(3)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
70,Non-HAMP Modified Number of Loans,402,407,Numeric,6,9(6),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
71,Non-HAMP Modified UPB,408,420,Numeric,13,9(11)v9(2),monthly_MBS (PORTFOLIO) Layout V1.3 (Jul 2013 - Mar 2015).pdf,2013-07-01,2015-03-01,D
