Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type
1,CUSIP Number,1,9,Character,9,X(9),monthly_layout_v22.pdf,,,D
2,Pool Number,10,15,Character,6,X(6),monthly_layout_v22.pdf,,,D
3,"Pool Indicator (X, C, or M)",16,16,Character,1,X,monthly_layout_v22.pdf,,,D
4,Pool Type,17,18,Character,2,X(2),monthly_layout_v22.pdf,,,D
5,Record Type (D=Pool Details),19,19,Character,1,X,monthly_layout_v22.pdf,,,D
6,Security Interest Rate,20,24,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
7,Pool Issue Date,25,32,Numeric,8,9(8),monthly_layout_v22.pdf,,,D
8,Pool Maturity Date,33,40,Numeric,8,9(8),monthly_layout_v22.pdf,,,D
9,Original Aggregate Amount,41,55,Numeric,15,9(13)v9(2),monthly_layout_v22.pdf,,,D
10,Issuer Number,56,59,Numeric,4,9(4),monthly_layout_v22.pdf,,,D
11,Issuer Name,60,99,Character,40,X(40),monthly_layout_v22.pdf,,,D
12,Security Margin (ARM pools only),100,103,Numeric,4,9(1)v9(3),monthly_layout_v22.pdf,,,D
13,Interest Adjustment Date (ARM pools only),104,111,Numeric,8,9(8),monthly_layout_v22.pdf,,,D
14,Payment Adjustment Date (ARM pools only),112,119,Numeric,8,9(8),monthly_layout_v22.pdf,,,D
15,Number of loans in pool,120,125,Numeric,6,9(6),monthly_layout_v22.pdf,,,D
16,Average Original Loan Size (AOLS),126,135,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
17,Maximum AOLS (Q4),136,145,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
18,75th Percentile AOLS (Q3),146,155,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
19,Median AOLS (Q2),156,165,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
20,25th Percentile AOLS (Q1),166,175,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
21,Minimum AOLS (Q0),176,185,Numeric,10,9(8)v9(2),monthly_layout_v22.pdf,,,D
22,WAC,186,190,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
23,Maximum WAC (Q4),191,195,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
24,75th Percentile WAC (Q3),196,200,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
25,Median WAC (Q2),201,205,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
26,25th Percentile WAC (Q1),206,210,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
27,Minimum WAC (Q0),211,215,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
28,WARM,216,218,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
29,Maximum WARM (Q4),219,221,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
30,75th Percentile WARM (Q3),222,224,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
31,Median WARM (Q2),225,227,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
32,25th Percentile WARM (Q1),228,230,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
33,Minimum WARM (Q0),231,233,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
34,WALA,234,236,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
35,Maximum WALA (Q4),237,239,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
36,75th Percentile WALA (Q3),240,242,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
37,Median WALA (Q2),243,245,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
38,25th Percentile WALA (Q1),246,248,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
39,Minimum WALA (Q0),249,251,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
40,WAOLT,252,254,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
41,Maximum WAOLT (Q4),255,257,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
42,75th Percentile WAOLT (Q3),258,260,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
43,Median WAOLT (Q2),261,263,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
44,25th Percentile WAOLT (Q1),264,266,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
45,Minimum WAOLT (Q0),267,269,Numeric,3,9(3),monthly_layout_v22.pdf,,,D
46,WAGM (ARM pools only),270,274,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
47,Maximum WAGM (Q4),275,279,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
48,75th Percentile WAGM (Q3),280,284,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
49,Median WAGM (Q2),285,289,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
50,25th Percentile WAGM (Q1),290,294,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
51,Minimum WAGM (Q0),295,299,Numeric,5,9(2)v9(3),monthly_layout_v22.pdf,,,D
