File Prefix,Item,Data Item,Begin,End,Type,Length,Remarks,Record Type,Version,First Month,Last Month
issrinfo,1,Issuer ID,1,4,Numeric,4,9(4),,1,201801,209912
issrinfo,2,Program,5,6,Character,2,X(2),,1,201801,209912
issrinfo,3,Issuer Name,7,106,Character,100,X(100),,1,201801,209912
issrinfo,4,Issuer Address,107,166,Character,60,X(60),,1,201801,209912
issrinfo,5,Issuer City,167,196,Character,30,X(30),,1,201801,209912
issrinfo,6,Issuer State,197,198,Character,2,X(2),,1,201801,209912
issrinfo,7,Issuer Zip Code,199,207,Numeric,9,9(9),,1,201801,209912
issrinfo,8,Issuer Phone Number,208,217,Numeric,10,9(10),,1,201801,209912
issrinfo,9,Issuer Status Indicator,218,218,Character,1,X,,1,201801,209912
issrinfo,10,Record As-Of Date,219,226,Numeric,8,9(8),,1,201801,209912
issuers,1,Issuer Number,1,4,Character,4,X(4),,1,201208,209912
issuers,2,Filler,5,6,Character,2,X(2),,1,201208,209912
issuers,3,"Filler of value ""A0""",7,8,Character,2,X(2),,1,201208,209912
issuers,4,Filler,9,10,Character,2,X(2),,1,201208,209912
issuers,5,Filler,11,12,Character,2,X(2),,1,201208,209912
issuers,6,Issuer Name (Short Name),13,30,Character,18,X(18),,1,201208,209912
issuers,7,Issuer Name (Long Name),31,90,Character,60,X(60),,1,201208,209912
issuers,8,Issuer Address 1,91,120,Character,30,X(30),,1,201208,209912
issuers,9,Issuer Address 2,121,144,Character,24,X(24),,1,201208,209912
issuers,10,Issuer City,145,166,Character,22,X(22),,1,201208,209912
issuers,11,Issuer State,167,168,Character,2,X(2),,1,201208,209912
issuers,12,Filler,169,169,Character,1,X,,1,201208,209912
issuers,13,Issuer Zip,170,174,Character,5,X(5),,1,201208,209912
issuers,14,Issuer Phone Number 1,175,184,Character,10,X(10),,1,201208,209912
issuers,15,Issuer Phone Number 2,185,194,Character,10,X(10),,1,201208,209912
issuers,16,Issuer Phone Number 3,195,204,Character,10,X(10),,1,201208,209912
issuers,17,Filler,205,216,Character,12,X(12),,1,201208,209912
issuers,18,Issuer Contact Name 1,217,246,Character,30,X(30),,1,201208,209912
issuers,19,Issuer Contact Name 2,247,276,Character,30,X(30),,1,201208,209912
issuers,20,Issuer Contact Name 3,277,306,Character,30,X(30),,1,201208,209912
issuers,21,Filler,307,308,Character,2,X(2),,1,201208,209912
