Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type
1,Record Type H = File Header,1,1,Character,1,X,"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
2,"File Name
(GNMA_MBS_TP_XXX_CCYYMM)",2,23,Character,22,X(22),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
3,File Number,24,26,Numeric,3,9(3),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
4,"Correction Flag (If a replacement of previous
file)",27,27,Character,1,X,"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
5,As of Date (CCYYMM),28,33,Numeric,6,9(6),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
6,Date File Generated (CCYYMMDD),34,41,Numeric,8,9(8),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,H
1,Record Type P = Pool Record,1,1,Character,1,X,"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
2,CUSIP Number,2,10,Character,9,X(9),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
3,Pool ID,11,16,Character,6,X(6),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
4,Pool Indicator,17,17,Character,1,X,"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
5,Pool Type,18,19,Character,2,X(2),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
6,Issuer ID *,20,23,Numeric,4,9(4),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
7,Issue Date,24,31,Numeric,8,9(8),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
8,Maturity Date,32,39,Numeric,8,9(8),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
9,Original Interest Rate,40,44,Numeric,5,9(2)v9(3),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
10,Original Aggregate Amount (OAA),45,59,Numeric,15,9(13)v9(2),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
11,Termination Date,60,67,Numeric,8,9(8),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
12,As-Of Date (CCYYMM),68,73,Numeric,6,9(6),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,P
1,Record Type Z = File Trailer,1,1,Character,1,X,"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
2,"File Name
(GNMA_MBS_TP_XXX_CCYYMM)",2,23,Character,22,X(22),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
3,File Number,24,26,Numeric,3,9(3),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
4,Pool Count (Control Total),27,33,Numeric,7,9(7),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
5,"Total Record Count in File (All Record Types,
Including H and Z records)",34,42,Numeric,9,9(9),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
6,As of Date (CCYYMM),43,48,Numeric,6,9(6),"ptermplatot_POOL TERMINATIONS FILE (PLATINUM_HMBS), JANUARY 1994 THROUGH MARCH 2017 Layout.pdf",,,Z
