Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type
1,Record Type H = File Header,1,1,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
2,"File Name
(GNMA_MBS_LL_XXX_CCYYMM)",2,23,Character,22,X(22),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
3,File Number,24,26,Numeric,3,9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
4,Correction Flag (If a replacement of previous file),27,27,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
5,As of Date (CCYYMM),28,33,Numeric,6,9(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
6,Date File Generated (CCYYMMDD),34,41,Numeric,8,9(8),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,H
1,Record Type P=Pool Information,1,1,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
2,CUSIP Number,2,10,Character,9,X(9),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
3,Pool ID,11,16,Character,6,X(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
4,"Issue Type (X, C, or M)",17,17,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
5,Pool Type,18,19,Character,2,X(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
6,Pool Issue Date,20,27,Numeric,8,9(8),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
7,Issuer ID,28,31,Numeric,4,9(4),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
8,As of Date (CCYYMM),32,37,Numeric,6,9(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,P
1,Record Type L=Loan Level Details,1,1,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
2,Pool ID,2,7,Character,6,X(6),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
3,"Disclosure Sequence Number (A sequence number
unique to loan level )",8,17,Numeric,10,10(9),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
4,Issuer ID (including for loan packages in MIP pool),18,21,Numeric,4,9(4),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
5,"Agency (Agency Loan Type FHA, VA, RD, NA)",22,22,Character,1,X,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
6,Loan Purpose,23,23,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
7,Refinance Type,24,24,Numeric,1,9,"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
8,First Payment Date (First Scheduled Installment),25,32,Numeric,8,9(8),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
9,Maturity Date of Loan (Last Scheduled Installment),33,40,Numeric,8,9(8),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
10,Loan Interest Rate (current interest rate),41,45,Numeric,5,9(2)v9(3),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
11,Original Principal Balance (OPB at pool issuance),46,56,Numeric,11,9(9)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
12,UPB at Issuance (UPB of the loan at pool issuance),57,67,Numeric,11,9(9)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
13,Unpaid Principal Balance (UPB of the loan),68,78,Numeric,11,9(9)v9(2),"llmon2_MBS SF PORTFOLIO - LOAN LEVEL, GINNIE II Layout V1.5 (Dec 2013 - Mar 2015).pdf",2013-12-01,2015-03-01,L
