Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type
1,Record Type = PHP,Character,3,,,File Header Record,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP
3,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP
1,Record Type = PPS,Character,3,,,HMBS Platinum Pool/Security Detail Record,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
2,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by
the Committee on Uniform Securities Identification
Procedures (CUSIP).",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the HMBS Platinum
Pool; this is assigned by Ginnie Mae at pool issuance.",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
4,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. This is always “H” for
HMBS Platinum Pools.",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
5,Pool Type,Character,2,,,"The type of HMBS Platinum Pool. Appendix 1 provides a
listing of pool types.",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
6,Index Type,Character,5,,,"The type of ARM index associated with the HECM loans in
the underlying HMBS collateral pools. These indexes are
relevant only to the HECM loans in the collateral pools. It is
not an index for the HMBS Platinum pool.
It will be either CMT (Constant Maturity Treasury), LIBOR
(London Interbank Offered Rate), or SOFR (Secured
Overnight Financing Rate). (SOFR implementation TBD).",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS
1,Record Type = PTP,Character,3,,,File Trailer Record,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTP
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTP
3,File Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTP
4,Detail Record Count,Numeric,8,,,"Control total of the total number of records with Record Type =
“PPS” in the file.",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PTP
1,Record Type = PHS,Character,3,,,File Header Record,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHS
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHS
3,Create Date,Date,8,"YYYYMM
DD",,The date that the file is produced.,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHS
1,Record Type = 02,Character,2,,,Various Record,hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,02
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,02
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the HMBS Platinum
Pool; this is assigned by Ginnie Mae at pool issuance.",hplatmonS_HMBS PLATINUM PORTFOLIO – POOL SUPPLEMENTAL Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,02
