Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type
1,Record Type = HP,Character,2,,,File Header Record,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HP
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HP
3,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HP
1,Record Type = PS,Character,2,,,SF Pool/Security Detail Record,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
2,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
4,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. Values are X, C, or M.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing of
pool types.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
6,Issue Date,Date,8,YYYYMMDD,,The date that the pool was issued,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
7,Security Interest Rate,Numeric,6,2.3,,"The interest rate of the Ginnie Mae Security. For ARM pools this
is the rate in effect for the report period.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
8,Maturity Date,Numeric,8,YYYYMMDD,,"The date on which the final payment for the Security is
scheduled to be paid.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,PS
1,Record Type = TP,Character,2,,,File Trailer Record,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,TP
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,TP
3,File Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,TP
4,Detail Record Count,Numeric,8,,,"Control total of the total number of records with Record Type =
“PS” in the file.",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,TP
1,Record Type = HS,Character,2,,,File Header Record,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HS
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HS
3,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HS
1,Record Type = 01,Character,2,,,Adjustable Rate Mortgage Record; applies to ARM Pools only.,nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,01
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by
the Committee on Uniform Securities Identification
Procedures (CUSIP).",nimonSFS_MBS SF MONTHLY NEW ISSUES - POOL SUPPLEMENTAL Layout V1.2 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,01
