File Prefix,Item,Data Item,Begin,End,Type,Length,Remarks,Record Type,Version,First Month,Last Month
dailyllmni,1,Record Type,1,1,Character,1,X,H,1.8,202102,209912
dailyllmni,2,File Name,2,23,Character,22,X(22),H,1.8,202102,209912
dailyllmni,3,File Number,24,26,Numeric,3,9(3),H,1.8,202102,209912
dailyllmni,4,Correction Flag,27,27,Character,1,X,H,1.8,202102,209912
dailyllmni,5,As of Date,28,33,Numeric,6,9(6),H,1.8,202102,209912
dailyllmni,6,Date File Generated,34,41,Numeric,8,9(8),H,1.8,202102,209912
dailyllmni,1,Record Type,1,1,Character,1,X,P,1.8,202102,209912
dailyllmni,2,CUSIP Number,2,10,Character,9,X(9),P,1.8,202102,209912
dailyllmni,3,Pool ID,11,16,Character,6,X(6),P,1.8,202102,209912
dailyllmni,4,Issue Type,17,17,Character,1,X,P,1.8,202102,209912
dailyllmni,5,Pool Type,18,19,Character,2,X(2),P,1.8,202102,209912
dailyllmni,6,Pool Issue Date,20,27,Numeric,8,9(8),P,1.8,202102,209912
dailyllmni,7,Issuer ID,28,31,Numeric,4,9(4),P,1.8,202102,209912
dailyllmni,8,As of Date,32,37,Numeric,6,9(6),P,1.8,202102,209912
dailyllmni,1,Record Type,1,1,Character,1,X,L,1.8,202102,209912
dailyllmni,2,Pool ID,2,7,Character,6,X(6),L,1.8,202102,209912
dailyllmni,3,Disclosure Sequence Number,8,17,Numeric,10,10(9),L,1.8,202102,209912
dailyllmni,4,Issuer ID,18,21,Numeric,4,9(4),L,1.8,202102,209912
dailyllmni,5,Agency,22,22,Character,1,X,L,1.8,202102,209912
dailyllmni,6,Loan Purpose,23,23,Numeric,1,9,L,1.8,202102,209912
dailyllmni,7,Refinance Type,24,24,Numeric,1,9,L,1.8,202102,209912
dailyllmni,8,First Payment Date,25,32,Numeric,8,9(8),L,1.8,202102,209912
dailyllmni,9,Maturity Date of Loan,33,40,Numeric,8,9(8),L,1.8,202102,209912
dailyllmni,10,Loan Interest Rate,41,45,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,11,Original Principal Balance,46,56,Numeric,11,9(9)v9(2),L,1.8,202102,209912
dailyllmni,12,UPB at Issuance,57,67,Numeric,11,9(9)v9(2),L,1.8,202102,209912
dailyllmni,13,Unpaid Principal Balance,68,78,Numeric,11,9(9)v9(2),L,1.8,202102,209912
dailyllmni,14,Original Loan Term,79,81,Numeric,3,9(3),L,1.8,202102,209912
dailyllmni,15,Loan Age,82,84,Numeric,3,9(3),L,1.8,202102,209912
dailyllmni,16,Remaining Loan Term,85,87,Numeric,3,9(3),L,1.8,202102,209912
dailyllmni,17,Months Delinquent,88,88,Numeric,1,9,L,1.8,202102,209912
dailyllmni,18,Months Pre-Paid,89,89,Numeric,1,9,L,1.8,202102,209912
dailyllmni,19,Loan Gross Margin,90,93,Numeric,4,9v9(3),L,1.8,202102,209912
dailyllmni,20,Loan To Value,94,98,Numeric,5,9(3)v9(2),L,1.8,202102,209912
dailyllmni,21,Combined LTV,99,103,Numeric,5,9(3)v9(2),L,1.8,202102,209912
dailyllmni,22,Total Debt Expense Ratio Percent,104,108,Numeric,5,9(3)v9(2),L,1.8,202102,209912
dailyllmni,23,Credit Score,109,111,Numeric,3,9(3),L,1.8,202102,209912
dailyllmni,24,Down Payment Assistance,112,112,Character,1,X,L,1.8,202102,209912
dailyllmni,25,Buy Down Status,113,113,Character,1,X,L,1.8,202102,209912
dailyllmni,26,Upfront MIP,114,118,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,27,Annual MIP,119,123,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,28,Number of Borrowers,124,124,Numeric,1,9,L,1.8,202102,209912
dailyllmni,29,First Time Home Buyer,125,125,Character,1,X,L,1.8,202102,209912
dailyllmni,30,Property Type,126,126,Numeric,1,9,L,1.8,202102,209912
dailyllmni,31,State,127,128,Character,2,X(2),L,1.8,202102,209912
dailyllmni,32,MSA,129,133,Numeric,5,9(5),L,1.8,202102,209912
dailyllmni,33,Third-Party Origination Type,134,134,Numeric,1,9,L,1.8,202102,209912
dailyllmni,34,Current Month Liquidation Flag,135,135,Character,1,X,L,1.8,202102,209912
dailyllmni,35,Removal Reason,136,136,Numeric,1,9,L,1.8,202102,209912
dailyllmni,36,As of Date,137,142,Numeric,6,9(6),L,1.8,202102,209912
dailyllmni,37,Loan Origination Date,143,150,Numeric,8,9(8),L,1.8,202102,209912
dailyllmni,38,Seller Issuer ID,151,154,Numeric,4,9(4),L,1.8,202102,209912
dailyllmni,39,Index Type,155,159,Character,5,X(5),L,1.8,202102,209912
dailyllmni,40,Look-Back Period,160,161,Numeric,2,9(2),L,1.8,202102,209912
dailyllmni,41,Interest Rate Change Date,162,169,Numeric,8,9(8),L,1.8,202102,209912
dailyllmni,42,Initial Interest Rate Cap,170,170,Numeric,1,9,L,1.8,202102,209912
dailyllmni,43,Subsequent Interest Rate Cap,171,171,Numeric,1,9,L,1.8,202102,209912
dailyllmni,44,Lifetime Interest Rate Cap,172,172,Numeric,1,9,L,1.8,202102,209912
dailyllmni,45,Next Interest Rate Change Ceiling,173,177,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,46,Lifetime Interest Rate Ceiling,178,182,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,47,Lifetime Interest Rate Floor,183,187,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,48,Prospective Interest Rate,188,192,Numeric,5,9(2)v9(3),L,1.8,202102,209912
dailyllmni,1,Record Type,1,1,Character,1,X,T,1.8,202102,209912
dailyllmni,2,CUSIP Number,2,10,Character,9,X(9),T,1.8,202102,209912
dailyllmni,3,Pool ID,11,16,Character,6,X(6),T,1.8,202102,209912
dailyllmni,4,Issue Type,17,17,Character,1,X,T,1.8,202102,209912
